tab 	pmag_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	sample_comp_name	sample_dec	sample_direction_type	sample_inc	sample_n	sample_n_lines	sample_n_planes	sample_tilt_correction
This study	North Shore Volcanics	ns066a	ns066	ns066a1	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	309.9	l	21.3	1	1	0	0
This study	North Shore Volcanics	ns066c	ns066	ns066c1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	313.7	l	18.3	1	1	0	0
This study	North Shore Volcanics	ns066d	ns066	ns066d1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	315.2	l	20.2	1	1	0	0
This study	North Shore Volcanics	ns066e	ns066	ns066e1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	313	l	18.9	1	1	0	0
This study	North Shore Volcanics	ns067a	ns067	ns067a1	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	285.2	l	27	1	1	0	0
This study	North Shore Volcanics	ns067b	ns067	ns067b1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	286.3	l	25	1	1	0	0
This study	North Shore Volcanics	ns067c	ns067	ns067c3	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	291.8	l	28.2	1	1	0	0
This study	North Shore Volcanics	ns067e	ns067	ns067e1	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	286.8	l	34.1	1	1	0	0
This study	North Shore Volcanics	ns068g	ns068	ns068g2	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	310.5	l	17.7	1	1	0	0
This study	North Shore Volcanics	ns070a	ns070	ns070a1	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	345.3	l	66.7	1	1	0	0
This study	North Shore Volcanics	ns070c	ns070	ns070c2	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	298	l	39.2	1	1	0	0
This study	North Shore Volcanics	ns077a	ns077	ns077a1	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	297.7	l	7.8	1	1	0	0
This study	North Shore Volcanics	ns078c	ns078	ns078c1	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	285.4	l	15.8	1	1	0	0
