tab 	measurements
citations	dir_dec	dir_inc	experiment	magn_moment	meas_pos_z	method_codes	number	quality	specimen	standard	timestamp	treat_ac_field	treat_temp
This study	348.64001139	-28.68500103	SI1-12.55-D:NRM_demag(T,Hac)0	1.98E-06	0.267	LP-DIR-AF:LT-AF-Z	756627	g	SI1-12.55-D	u	2011-08-06T19:18:33Z	0.12	300
This study	79.02232521	-46.46475918	SI1-13.0-D:NRM_demag(T,Hac)0	1.91E-07	0.467	LP-DIR-AF:LT-AF-Z	756628	g	SI1-13.0-D	u	2011-08-06T19:18:49Z	0.12	300
This study	353.553901707	-51.5459348	SI1-13.4-D:NRM_demag(T,Hac)0	2.54E-07	0.667	LP-DIR-AF:LT-AF-Z	756629	g	SI1-13.4-D	u	2011-08-06T19:19:04Z	0.12	300
This study	100.3837257	-86.50349814	SI1-14.2-D:NRM_demag(T,Hac)0	2.96E-07	0.867	LP-DIR-AF:LT-AF-Z	756630	g	SI1-14.2-D	u	2011-08-06T19:19:19Z	0.12	300
This study	353.136350622	-64.97572596	SI1-14.4-D:NRM_demag(T,Hac)0	2.93E-06	1.067	LP-DIR-AF:LT-AF-Z	756631	g	SI1-14.4-D	u	2011-08-06T19:19:34Z	0.12	300
This study	354.768555035	-35.75849438	SI1-14.9-D:NRM_demag(T,Hac)0	3.21E-06	1.267	LP-DIR-AF:LT-AF-Z	756632	g	SI1-14.9-D	u	2011-08-06T19:19:49Z	0.12	300
This study	345.19213875	-44.0364148	SI1-12.5-D:NRM_demag(T,Hac)0	1.33E-07	0.067	LP-DIR-AF:LT-AF-Z	756633	g	SI1-12.5-D	u	2011-08-06T19:25:33Z	0.145	300
This study	337.50821157	-28.47710475	SI1-12.55-D:NRM_demag(T,Hac)0	1.85E-06	0.267	LP-DIR-AF:LT-AF-Z	756634	g	SI1-12.55-D	u	2011-08-06T19:25:48Z	0.145	300
This study	303.65344898	-58.11305791	SI1-13.0-D:NRM_demag(T,Hac)0	2.02E-07	0.467	LP-DIR-AF:LT-AF-Z	756635	g	SI1-13.0-D	u	2011-08-06T19:26:03Z	0.145	300
This study	308.95064077	-26.94282938	SI1-13.4-D:NRM_demag(T,Hac)0	3.60E-07	0.667	LP-DIR-AF:LT-AF-Z	756636	g	SI1-13.4-D	u	2011-08-06T19:26:18Z	0.145	300
This study	359.040064024	-68.87130785	SI1-14.2-D:NRM_demag(T,Hac)0	3.15E-07	0.867	LP-DIR-AF:LT-AF-Z	756637	g	SI1-14.2-D	u	2011-08-06T19:26:33Z	0.145	300
This study	356.153090871	-67.55626494	SI1-14.4-D:NRM_demag(T,Hac)0	2.59E-06	1.067	LP-DIR-AF:LT-AF-Z	756638	g	SI1-14.4-D	u	2011-08-06T19:26:48Z	0.145	300
This study	355.677345069	-34.74166276	SI1-14.9-D:NRM_demag(T,Hac)0	3.00E-06	1.267	LP-DIR-AF:LT-AF-Z	756639	g	SI1-14.9-D	u	2011-08-06T19:27:04Z	0.145	300
This study	355.071603378	-27.66672322	SI1-12.5-D:NRM_demag(T,Hac)0	1.86E-07	0.067	LP-DIR-AF:LT-AF-Z	756640	g	SI1-12.5-D	u	2011-08-06T19:33:12Z	0.17	300
This study	341.41015183	-26.90003239	SI1-12.55-D:NRM_demag(T,Hac)0	1.66E-06	0.267	LP-DIR-AF:LT-AF-Z	756641	g	SI1-12.55-D	u	2011-08-06T19:33:27Z	0.17	300
This study	186.445079	-65.71974629	SI1-13.0-D:NRM_demag(T,Hac)0	1.52E-07	0.467	LP-DIR-AF:LT-AF-Z	756642	g	SI1-13.0-D	u	2011-08-06T19:33:42Z	0.17	300
This study	327.80052203	-30.68215821	SI1-13.4-D:NRM_demag(T,Hac)0	2.96E-07	0.667	LP-DIR-AF:LT-AF-Z	756643	g	SI1-13.4-D	u	2011-08-06T19:33:57Z	0.17	300
This study	337.01283678	-64.23040836	SI1-14.2-D:NRM_demag(T,Hac)0	2.39E-07	0.867	LP-DIR-AF:LT-AF-Z	756644	g	SI1-14.2-D	u	2011-08-06T19:34:12Z	0.17	300
This study	351.688328452	-63.57557297	SI1-14.4-D:NRM_demag(T,Hac)0	2.40E-06	1.067	LP-DIR-AF:LT-AF-Z	756645	g	SI1-14.4-D	u	2011-08-06T19:34:27Z	0.17	300
This study	355.299208066	-35.73299674	SI1-14.9-D:NRM_demag(T,Hac)0	2.69E-06	1.267	LP-DIR-AF:LT-AF-Z	756646	g	SI1-14.9-D	u	2011-08-06T19:34:42Z	0.17	300
This study	330.0011087	-18.41901933	SI1-28.68-D:NRM_demag(T,Hac)0	1.13E-05	0.067	LP-DIR-AF:LT-NO	756647	g	SI1-28.68-D	u	2011-08-07T11:37:59Z	0	300
This study	338.17843096	-22.61896956	SI1-28.7-D:NRM_demag(T,Hac)0	6.28E-06	0.267	LP-DIR-AF:LT-NO	756648	g	SI1-28.7-D	u	2011-08-07T11:38:15Z	0	300
