tab 	magic_measurements																							
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Agate Point	AP1-5	AP1	AP1-5a	AP1-5a:LP-DIR-T	hargrave 2016-05-12 14:17:24	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.9	316.9		g	-43.6	7.27E-06	12	1	1.28E-07	1.46E-07	1.68E-07	u	273	0	0	823
This study	Agate Point	AP1-5	AP1	AP1-5a	AP1-5a:LP-DIR-T	hargrave 2016-05-16 11:58:15	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.9	317		g	-43.8	5.41E-06	13	1	1.10E-07	8.26E-08	1.23E-07	u	273	0	0	833
This study	Agate Point	AP1-5	AP1	AP1-5a	AP1-5a:LP-DIR-T	hargrave 2016-05-16 17:58:47	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.9	313.8		g	-43.8	3.55E-06	14	1	6.25E-08	7.68E-08	7.85E-08	u	273	0	0	843
This study	Agate Point	AP1-5	AP1	AP1-5a	AP1-5a:LP-DIR-T	hargrave 2016-05-17 14:15:54	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.5	316.6		g	-44.8	2.56E-06	15	1	5.34E-08	8.50E-08	5.83E-08	u	273	0	0	848
This study	Agate Point	AP1-5	AP1	AP1-5a	AP1-5a:LP-DIR-T	hargrave 2016-05-18 11:08:49	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2	315.6		g	-44.2	2.16E-06	16	1	3.86E-08	5.42E-08	4.36E-08	u	273	0	0	853
This study	Agate Point	AP1-6	AP1	AP1-6a	AP1-6a:LP-DIR-T	hargrave 2016-04-08 16:21:48	LT-NO:LP-DIR-T	pmagpy-3.4.0	3.1	316.2		g	-43	5.94E-05	1	1	2.51E-06	2.03E-06	6.41E-07	u	273	0	0	273
This study	Agate Point	AP1-6	AP1	AP1-6a	AP1-6a:LP-DIR-T	hargrave 2016-04-11 16:39:31	LT-LT-Z:LP-DIR-T	pmagpy-3.4.0	3.8	315.2		g	-43.1	5.76E-05	2	1	2.69E-06	2.66E-06	5.08E-07	u	273	0	0	77
This study	Agate Point	AP1-6	AP1	AP1-6a	AP1-6a:LP-DIR-T	hargrave 2016-04-18 09:25:40	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.8	315.8		g	-42.9	5.76E-05	3	1	2.19E-06	1.71E-06	5.72E-07	u	273	0	0	373
This study	Agate Point	AP1-6	AP1	AP1-6a	AP1-6a:LP-DIR-T	hargrave 2016-04-18 16:41:04	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.9	317.2		g	-42.8	5.90E-05	4	1	1.62E-06	1.14E-06	6.08E-07	u	273	0	0	473
This study	Agate Point	AP1-6	AP1	AP1-6a	AP1-6a:LP-DIR-T	hargrave 2016-04-19 12:28:19	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.3	318.5		g	-42.8	5.81E-05	5	1	1.87E-06	1.46E-06	5.62E-07	u	273	0	0	573
This study	Agate Point	AP1-6	AP1	AP1-6a	AP1-6a:LP-DIR-T	hargrave 2016-04-25 12:04:05	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2	319.4		g	-42.7	4.66E-05	6	1	1.33E-06	7.82E-07	7.25E-07	u	273	0	0	623
